========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
welding_tig_unit_v0                             120.0 kg       0.0%       0.0%     100.0%
filler_material_station_v0                       15.0 kg       0.0%       0.0%     100.0%
wire_crimping_tools                               5.0 kg       0.0%       0.0%     100.0%
analog_test_bench_neural_v0                     100.0 kg       0.0%       0.0%     100.0%
annealing_oven_small                            180.0 kg       0.0%       0.0%       0.0%
vacuum_pump_small                                35.0 kg      83.4%       0.0%      16.6%
press_brake_v0                                 1200.0 kg      66.0%       0.0%      34.0%
test_bench_electrical                           200.0 kg      30.6%       0.0%      69.4%
heat_transport_system                           120.0 kg     100.0%       0.0%       0.0%
bench_grinder                                    35.0 kg      84.4%       0.0%      15.6%
wheel_load_cell_system_v0                        60.0 kg     100.0%       0.0%       0.0%
punch_press_drill                               400.0 kg      76.7%       0.0%      23.3%
stamping_press_basic                           1000.0 kg      15.6%       0.0%      84.4%
chemical_reactor_heated_v0                      600.0 kg      90.9%       0.0%       9.1%
czochralski_puller_v0                           500.0 kg     100.0%       0.0%       0.0%
screening_equipment                              60.0 kg     100.0%       0.0%       0.0%
electronic_assembly_v0                           50.0 kg       0.0%       0.0%       0.0%
ball_mill_v0                                   1100.0 kg      99.6%       0.0%       0.4%
metal_cutting_saw                               250.0 kg      17.5%       0.0%      82.5%
furnace                                         900.0 kg       0.0%       0.0%       0.0%
casting_mold_set                                100.0 kg       0.0%       0.0%     100.0%
manual_labour                                    75.0 kg       0.0%       0.0%       0.0%
coordinate_measuring_machine                    800.0 kg      82.8%       0.0%      17.2%
heat_pipe_solar_receiver_advanced_v0            150.0 kg       0.0%       0.0%     100.0%
vacuum_chamber                                  150.0 kg       0.0%       0.0%       0.0%
water_electrolysis_system_v0                    150.0 kg      23.5%       0.0%      76.5%
polishing_station                               120.0 kg      80.7%       0.0%      19.3%
surface_treatment_station_v0                   1200.0 kg      60.9%       0.0%      39.1%
rolling_mill                                    800.0 kg     100.0%       0.0%       0.0%
carbon_feeder_screw                             100.0 kg       8.2%       0.0%      91.8%
pressing_tools                                  150.0 kg       0.0%       0.0%     100.0%
order_holon_v0                                    1.0 kg       0.0%       0.0%       0.0%
forge_or_induction_heater_v0                   1800.0 kg      97.5%       0.0%       2.5%

========================================================================================================================


================================================================================
CLOSURE ANALYSIS: PCB fabrication station (pcb_fab_station)
================================================================================

Machine Total Mass: 350.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):        0.00 kg  (  0.0%)
  Imported:                    0.00 kg  (  0.0%)
  Unresolved:                  1.00 kg  (100.0%)
  ────────────────────────────────────────
  Total Calculated:            1.00 kg

UNRESOLVED ITEMS (Missing recipes or definitions):
--------------------------------------------------------------------------------
  placeholder_component                                   1.00 count       1.00 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Recipe 'recipe_placeholder_component_v1' for 'placeholder_component' has no inputs

================================================================================


================================================================================
CLOSURE ANALYSIS: Sintering furnace v0 (sintering_furnace_v0)
================================================================================

Machine Total Mass: 950.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
