========================================================================================================================
CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
furnace_high_temp                               800.0 kg       0.0%     100.0%       0.0%
heat_treatment_furnace_v0                       600.0 kg       0.0%     100.0%       0.0%
forging_press_v0                                850.0 kg       0.0%     100.0%       0.0%
forge_or_induction_heater                      1500.0 kg       0.0%     100.0%       0.0%
dynamic_balancing_stand_v0                       70.0 kg       0.0%     100.0%       0.0%
welding_consumables                              25.0 kg       0.0%     100.0%       0.0%
milling_machine_cnc                            1200.0 kg       0.0%     100.0%       0.0%
air_compressor_small                             25.0 kg       0.0%     100.0%       0.0%
pelletizer_v0                                    40.0 kg       0.0%     100.0%       0.0%
ebf3_wire_feed_machine_v0                       400.0 kg       0.0%     100.0%       0.0%
carbon_safety_system_v0_v0                       60.0 kg       0.0%     100.0%       0.0%
microscope_inspection_stereo                     12.0 kg       0.0%     100.0%       0.0%
generic_chemical_reactor_v0                     250.0 kg       0.0%     100.0%       0.0%
labor_bot_basic_v0                              120.0 kg       0.0%     100.0%       0.0%
press_hydraulic                                 250.0 kg       0.0%     100.0%       0.0%
water_purification_distillation_v0              120.0 kg       0.0%     100.0%       0.0%
resource_3d_printer_cartesian_v0_machine        120.0 kg       0.0%     100.0%       0.0%
welding_tig_unit_v0                             120.0 kg       0.0%     100.0%       0.0%
filler_material_station_v0                       15.0 kg       0.0%     100.0%       0.0%
computer_workstation                             12.0 kg       0.0%     100.0%       0.0%
labor_bot_general_v0                            120.0 kg       0.0%     100.0%       0.0%
wire_crimping_tools                               5.0 kg       0.0%     100.0%       0.0%
analog_test_bench_neural_v0                     100.0 kg       0.0%     100.0%       0.0%
vacuum_pump_small                                35.0 kg       0.0%     100.0%       0.0%
test_bench_electrical                           200.0 kg       0.0%     100.0%       0.0%
hot_press_v0                                    950.0 kg       0.0%     100.0%       0.0%
heat_transport_system                           120.0 kg       0.0%     100.0%       0.0%
cartesian_gantry_assembler_robot_v0             300.0 kg       0.0%     100.0%       0.0%
punch_press_drill                               400.0 kg       0.0%     100.0%       0.0%
epoxy_processing_unit                           150.0 kg       0.0%     100.0%       0.0%
stamping_press_basic                           1000.0 kg       0.0%     100.0%       0.0%
czochralski_puller_v0                           500.0 kg       0.0%     100.0%       0.0%
screening_equipment                              60.0 kg       0.0%     100.0%       0.0%
power_distribution_bus                          200.0 kg       0.0%     100.0%       0.0%
electronic_assembly_v0                           50.0 kg       0.0%     100.0%       0.0%
ball_mill_v0                                   1100.0 kg       0.0%     100.0%       0.0%
vibratory_feeder_v0                             320.0 kg       0.0%     100.0%       0.0%
high_temp_furnace_v0                           1500.0 kg       0.0%     100.0%       0.0%
casting_mold_set                                100.0 kg       0.0%     100.0%       0.0%
spinning_machine_v0                             300.0 kg       0.0%     100.0%       0.0%
manual_labour                                    75.0 kg       0.0%     100.0%       0.0%
coordinate_measuring_machine                    800.0 kg       0.0%     100.0%       0.0%
heat_pipe_solar_receiver_advanced_v0            150.0 kg       0.0%     100.0%       0.0%
spin_coating_station_v0                          50.0 kg       0.0%     100.0%       0.0%
radiator_panels_v0                              450.0 kg       0.0%     100.0%       0.0%
polishing_station                               120.0 kg       0.0%     100.0%       0.0%
surface_treatment_station_v0                   1200.0 kg       0.0%     100.0%       0.0%
low_temp_oven                                   300.0 kg       0.0%     100.0%       0.0%
rolling_mill                                    800.0 kg       0.0%     100.0%       0.0%
power_conditioner                               100.0 kg       0.0%     100.0%       0.0%
carbon_feeder_screw                             100.0 kg       0.0%     100.0%       0.0%
pressing_tools                                  150.0 kg       0.0%     100.0%       0.0%
stepper_motor_v0                                  2.0 kg       0.0%     100.0%       0.0%
cryogenic_chiller_v0                            300.0 kg       0.0%     100.0%       0.0%
lattice_builder_gantry_robot_v0                1100.0 kg       0.0%     100.0%       0.0%
forge_or_induction_heater_v0                   1800.0 kg       0.0%     100.0%       0.0%
reduction_furnace_v0                           1300.0 kg       0.0%     100.0%       0.0%
ammonia_recovery_unit_v0                        400.0 kg       0.0%     100.0%       0.0%
water_auger_dryer_ladi_v0                       300.0 kg       0.0%     100.0%       0.0%
contact_material_application_station_v0         150.0 kg       0.0%     100.0%       0.0%
vacuum_furnace_v0                              1200.0 kg       0.0%     100.0%       0.0%
visual_odometry_system_v0_v0                      6.0 kg       0.0%     100.0%       0.0%
visual_odometry_system_v0                         6.0 kg       0.0%     100.0%       0.0%
flywheel_motor_generator_v0                     400.0 kg       0.0%     100.0%       0.0%
plate_rolling_mill                             1500.0 kg       0.0%     100.0%       0.0%
press_brake                                    1200.0 kg       0.0%     100.0%       0.0%
press_brake_v0                                 1200.0 kg       0.0%     100.0%       0.0%
power_management_system                         100.0 kg       0.0%     100.0%       0.0%
3d_printer_basic_v0                              40.0 kg       0.0%     100.0%       0.0%
microwave_sintering_equipment_v0                120.0 kg       0.0%     100.0%       0.0%
lab_v0_v0                                        60.0 kg       0.0%     100.0%       0.0%
lens_machine_lunar_v0                           600.0 kg       0.0%     100.0%       0.0%
slm_machine_lunar_v0                            500.0 kg       0.0%     100.0%       0.0%
tensile_test_machine_v0                         350.0 kg       0.0%     100.0%       0.0%
analog_test_bench_neural_circuits_v0             60.0 kg       0.0%     100.0%       0.0%
cutting_station_basic_v0                         60.0 kg       0.0%     100.0%       0.0%
build_atmosphere_control_v0                     100.0 kg       0.0%     100.0%       0.0%
water_electrolysis_system_v0                    150.0 kg       0.0%     100.0%       0.0%
optical_comparator_v0                            80.0 kg       0.0%     100.0%       0.0%
ffc_power_supply_controlled_v0                  200.0 kg       0.0%     100.0%       0.0%
cryogenic_separation_system_v0                  800.0 kg       0.0%     100.0%       0.0%
microstructure_analysis_system_v0               120.0 kg       0.0%     100.0%       0.0%
powder_quality_analysis_v0                       30.0 kg       0.0%     100.0%       0.0%
inert_atmosphere_system                         100.0 kg       0.0%     100.0%       0.0%
power_supply_high_voltage                        60.0 kg       0.1%      99.9%       0.0%
power_supply_bench                               25.0 kg       0.1%      99.9%       0.0%
chemical_reactor_heated                         600.0 kg       0.1%      99.9%       0.0%
chemical_reactor_heated_v0_v0                   600.0 kg       0.1%      99.9%       0.0%
chemical_reactor_heated_v0                      600.0 kg       0.1%      99.9%       0.0%
optical_microscope_v0                            15.0 kg       0.1%      99.9%       0.0%
soldering_station                                 8.0 kg       0.5%      99.5%       0.0%
mixing_station                                   50.0 kg       0.5%      99.5%       0.0%
water_electrolyzer_v0                           180.0 kg       0.5%      99.5%       0.0%
chemical_separation_equipment                   200.0 kg       0.6%      99.4%       0.0%
vacuum_chamber                                  150.0 kg       0.6%      99.4%       0.0%
electrolyzer_pem_v0_v0                          260.0 kg       0.6%      99.4%       0.0%
electrolyzer_pem_v0                             260.0 kg       0.6%      99.4%       0.0%
lidar_time_of_flight_simple_v0                    2.0 kg       0.7%      99.3%       0.0%
glove_box_or_dry_room                           200.0 kg       0.7%      99.3%       0.0%
drying_oven                                     120.0 kg       0.9%      99.1%       0.0%
blast_furnace_or_smelter                       5000.0 kg       1.0%      99.0%       0.0%
roasting_furnace_v0                             900.0 kg       1.0%      99.0%       0.0%
heating_furnace                                 800.0 kg       1.1%      98.9%       0.0%
haber_bosch_reactor_v0                         1500.0 kg       1.1%      98.9%       0.0%
kiln_basic                                      800.0 kg       1.1%      98.9%       0.0%
kapvik_microrover_30kg_v0                        30.0 kg       2.3%      97.7%       0.0%
radio_transmitter_vacuum_tube_v0                 50.0 kg       2.6%      97.4%       0.0%
thermal_water_extractor                         300.0 kg       2.6%      97.4%       0.0%
metal_shear_or_saw                              350.0 kg       4.0%      96.0%       0.0%
magnetization_station_v0                         60.0 kg       6.2%      93.8%       0.0%
solar_concentrator_fresnel                      320.0 kg       6.7%      93.3%       0.0%
solar_concentrator_fresnel_v0                   320.0 kg       6.7%      93.3%       0.0%
solar_thermal_storage_system_v0                2000.0 kg       8.1%      91.9%       0.0%
furnace_basic                                   300.0 kg       9.7%      90.3%       0.0%
furnace                                         900.0 kg       9.7%      90.3%       0.0%
regolith_brick_press_hydraulic_v0              2000.0 kg      11.6%      88.4%       0.0%
fiber_drawing_tower                             500.0 kg      13.3%      86.7%       0.0%
pete_photon_enhanced_thermionic_v0              100.0 kg      22.0%      78.0%       0.0%
regolith_brick_press_v0                        1200.0 kg      23.5%      76.5%       0.0%
vacuum_pump_station                              40.0 kg      23.5%      76.5%       0.0%
hydraulic_press                                 600.0 kg      23.5%      76.5%       0.0%
hydraulic_press_small                           150.0 kg      23.5%      76.5%       0.0%
molding_press_basic                             300.0 kg      23.5%      76.5%       0.0%
material_handling_equipment                     400.0 kg      23.5%      76.5%       0.0%
hardness_tester_v0                               20.0 kg      23.5%      76.5%       0.0%
loom_or_knitting_machine                        120.0 kg      23.6%      76.4%       0.0%
fiber_spinneret_v0                               40.0 kg      25.1%      74.9%       0.0%
thermionic_power_system_v0                      500.0 kg      28.8%      71.2%       0.0%
crucible_set                                     50.0 kg      30.5%      69.5%       0.0%
ffc_reactor_enhanced_v0                        1200.0 kg      33.9%      66.1%       0.0%
ffc_reactor_unit_v0                             250.0 kg      33.9%      66.1%       0.0%
thermionic_topping_cycle_v0                     120.0 kg      37.2%      62.8%       0.0%
inverter_dc_to_ac_v0                             25.0 kg      37.3%      62.7%       0.0%
power_conditioning_equipment                     80.0 kg      37.3%      62.7%       0.0%
power_unit                                      100.0 kg      37.4%      62.6%       0.0%
power_supply_unit_v0                             60.0 kg      37.4%      62.6%       0.0%
electrolyzer_alkaline_v0                       1100.0 kg      37.5%      62.5%       0.0%
machine_vision_processing_v0_v0                   6.0 kg      44.0%      56.0%       0.0%
machine_vision_processing_v0                      6.0 kg      44.0%      56.0%       0.0%
kiln_ceramic                                    400.0 kg      56.0%      44.0%       0.0%
winding_machine                                 150.0 kg      73.7%      26.3%       0.0%
thermionic_converter_v0                          45.0 kg      76.6%      23.4%       0.0%
annealing_oven_small                            180.0 kg      81.7%      18.3%       0.0%
formation_rack                                  400.0 kg      84.4%      15.6%       0.0%
