========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
dust_collection_system                          180.0 kg     100.0%       0.0%       0.0%
power_supply_bench                               25.0 kg     100.0%       0.0%       0.0%
power_supply_high_voltage                        60.0 kg     100.0%       0.0%       0.0%
sabatier_reactor_co2_reduction_v0               150.0 kg     100.0%       0.0%       0.0%
encapsulation_station                            80.0 kg     100.0%       0.0%       0.0%
flywheel_motor_generator_v0                     400.0 kg     100.0%       0.0%       0.0%
ebf3_wire_feed_machine_v0                       400.0 kg     100.0%       0.0%       0.0%
glassworking_station                             80.0 kg     100.0%       0.0%       0.0%
pelletizer_v0                                    40.0 kg     100.0%       0.0%       0.0%
lathe_engine_v0                                 180.0 kg     100.0%       0.0%       0.0%
solar_thermal_storage_system_v0                2000.0 kg     100.0%       0.0%       0.0%
ffc_power_supply_controlled_v0                  200.0 kg     100.0%       0.0%       0.0%
drill_press_v0                                  120.0 kg     100.0%       0.0%       0.0%
drill_press                                     100.0 kg     100.0%       0.0%       0.0%
rolling_mill_or_brake                           800.0 kg     100.0%       0.0%       0.0%
drilling_equipment_v0                           500.0 kg     100.0%       0.0%       0.0%
soldering_station                                 8.0 kg     100.0%       0.0%       0.0%
coating_station                                 120.0 kg     100.0%       0.0%       0.0%
coating_station_v0                              120.0 kg     100.0%       0.0%       0.0%
precision_grinding_system_v0                    600.0 kg     100.0%       0.0%       0.0%
lens_machine_lunar_v0                           600.0 kg     100.0%       0.0%       0.0%
slm_machine_lunar_v0                            500.0 kg     100.0%       0.0%       0.0%
tensile_test_machine_v0                         350.0 kg     100.0%       0.0%       0.0%
analog_test_bench_neural_circuits_v0             60.0 kg     100.0%       0.0%       0.0%
lab_v0_v0                                        60.0 kg     100.0%       0.0%       0.0%
cutting_station_basic_v0                         60.0 kg     100.0%       0.0%       0.0%
microwave_sintering_equipment_v0                120.0 kg     100.0%       0.0%       0.0%
3d_printer_basic_v0                              40.0 kg     100.0%       0.0%       0.0%
optical_comparator_v0                            80.0 kg     100.0%       0.0%       0.0%
power_management_system                         100.0 kg     100.0%       0.0%       0.0%
powder_quality_analysis_v0                       30.0 kg     100.0%       0.0%       0.0%
optical_microscope_v0                            15.0 kg     100.0%       0.0%       0.0%
rolling_mill_v0                                1200.0 kg     100.0%       0.0%       0.0%
rolling_mill                                    800.0 kg     100.0%       0.0%       0.0%
rock_crusher_basic                              500.0 kg     100.0%       0.0%       0.0%
precision_lathe                                1200.0 kg     100.0%       0.0%       0.0%
water_auger_dryer_ladi_v0                       300.0 kg     100.0%       0.0%       0.0%
conveyor_belt_system_v0                          60.0 kg     100.0%       0.0%       0.0%
conveyor_belt_small                             120.0 kg     100.0%       0.0%       0.0%
mixer_or_blender                                 80.0 kg     100.0%       0.0%       0.0%
centrifugal_separator_v0                        250.0 kg     100.0%       0.0%       0.0%
vacuum_furnace_v0                              1200.0 kg     100.0%       0.0%       0.0%
carbon_feeder_screw                             100.0 kg     100.0%       0.0%       0.0%
contact_material_application_station_v0         150.0 kg     100.0%       0.0%       0.0%
kiln_basic                                      800.0 kg     100.0%       0.0%       0.0%
wire_arc_additive_machine                      1800.0 kg     100.0%       0.0%       0.0%
wire_arc_additive_machine_v0                    850.0 kg     100.0%       0.0%       0.0%
pcb_fab_station                                 350.0 kg     100.0%       0.0%       0.0%
machine_vision_processing_v0_v0                   6.0 kg     100.0%       0.0%       0.0%
ffc_reactor_enhanced_v0                        1200.0 kg     100.0%       0.0%       0.0%
solar_array_cleaning_brush_v0                    25.0 kg     100.0%       0.0%       0.0%
tube_bender                                     200.0 kg     100.0%       0.0%       0.0%
heat_pipe_solar_receiver_v0                     150.0 kg     100.0%       0.0%       0.0%
pcb_fab_equipment                               250.0 kg     100.0%       0.0%       0.0%
screening_equipment_v0                           60.0 kg     100.0%       0.0%       0.0%
lab_v0                                           60.0 kg     100.0%       0.0%       0.0%
hydraulic_power_unit_basic                      150.0 kg     100.0%       0.0%       0.0%
cooling_chamber_controlled                      150.0 kg     100.0%       0.0%       0.0%
cutting_tools_general                            30.0 kg     100.0%       0.0%       0.0%
cryocooler_active_v0                             25.0 kg     100.0%       0.0%       0.0%
magnetic_separator                              120.0 kg       0.0%       0.0%       0.0%
cold_trap_module_v0                             120.0 kg     100.0%       0.0%       0.0%
furnace_basic                                   300.0 kg       0.0%       0.0%       0.0%
data_handler_unit_v0                              3.0 kg     100.0%       0.0%       0.0%
electrolyzer_pem_v0_v0                          260.0 kg     100.0%       0.0%       0.0%
chemical_separation_equipment                   200.0 kg       0.0%       0.0%       0.0%
gravity_separator                               180.0 kg     100.0%       0.0%       0.0%
ffc_reactor_unit_v0                             250.0 kg     100.0%       0.0%       0.0%
robot_arm_6dof_v0                                60.0 kg     100.0%       0.0%       0.0%
acid_reactor_v0                                 250.0 kg       0.0%       0.0%       0.0%
